uri,get_query,post_data,method,label
/index.php,offset=0&count=20,,GET,Valid
/checkout.php,token=abc123,username=john&password=pass123,POST,Valid
/api/users,id=1,,GET,Valid
/home.php,lang=ar,username=john&password=pass123,POST,Valid
/api/products,,,GET,Valid
/robots.txt,,,GET,Valid
/search.php,id=2&name=product,,GET,Valid
/index.html,token=abc123,username=admin&password=adminpass,POST,Valid
/index.html,category=tech&sort=date,,GET,Valid
/home.php,user=john&role=admin,,GET,Valid
/dashboard.php,id=1&lang=en,,GET,Valid
/news/article.php,page=about,,GET,Valid
/profile.php,,,GET,Valid
/home.php,,,GET,Valid
/dashboard.php,id=1&lang=en,,GET,Valid
/search.php,,username=john&password=pass123,POST,Valid
/cart.php,id=5,comment=Nice+post&post_id=3,POST,Valid
/profile.php,,,GET,Valid
/api/products,category=tech&sort=date,,GET,Valid
/index.php,theme=dark,,GET,Valid
/shop/checkout,filter=active,,GET,Valid
/static/css/main.css,theme=dark,,GET,Valid
/api/orders,,username=john&password=pass123,POST,Valid
/blog/post.php,filter=active,,GET,Valid
/static/css/main.css,id=2&name=product,,GET,Valid
/settings.php,id=1,email=test@example.com&name=John,POST,Valid
/cart.php,page=1&limit=10,,GET,Valid
/sitemap.xml,page=1&limit=10,login=john&pass=secret123,POST,Valid
/api/products,page=about,,GET,Valid
/api/products,username=john&remember=1,login=john&pass=secret123,POST,Valid
/shop/item,q=hello+world,comment=Nice+post&post_id=3,POST,Valid
/checkout.php,id=5,,GET,Valid
/register.php,q=hello+world,,GET,Valid
/cart.php,token=abc123,product_id=5&qty=2,POST,Valid
/api/v2/data,lang=ar,comment=Nice+post&post_id=3,POST,Valid
/shop/checkout,,,GET,Valid
/api/v1/auth/token,,,GET,Valid
/login.php,id=1&lang=en,,GET,Valid
/profile.php,category=tech&sort=date,,GET,Valid
/home.php,lang=ar,,GET,Valid
/user/profile,user=john&role=admin,,GET,Valid
/assets/logo.png,theme=dark,comment=Nice+post&post_id=3,POST,Valid
/api/v2/data,,username=admin&password=adminpass,POST,Valid
/search.php,,user=ayad&pwd=mypass,POST,Valid
/search.php,page=about,,GET,Valid
/search.php,,,GET,Valid
